451,HMDB,HMDB13037,4355,0
452,KEGG,C00888,4355,0
453,CHEBI,15536,4355,0
454,PubChem,439337,4355,0
455,EHMN,CE2306,1278,0
456,HMDB,HMDB01175,3997,0
457,KEGG,C00083,3997,0
458,EHMN,C00083,3997,0
459,CHEBI,15531,3997,0
460,PubChem,10663,3997,0
461,HepatoNet,HC00086,3997,0
462,HMDB,HMDB03375,3886,0
463,KEGG,C00521,3886,0
464,CHEBI,15383,3886,0
465,PubChem,439250,3886,0
466,HMDB,HMDB00051,4150,0
467,KEGG,C00014,4150,0
468,EHMN,C01342,4150,0
469,CHEBI,28938,4150,0
470,PubChem,223,4150,0
471,HepatoNet,HC00765,4150,0
472,EHMN,C02051,3934,0
473,CHEBI,15804,3934,0
474,KEGG,C16167,4787,0
475,PubChem,23724644,4787,0
476,EHMN,CE5840,1959,0
477,EHMN,CE6508,2151,0
478,PubChem,53394277,2151,0
479,HMDB,HMDB00705,1007,0
480,CHEBI,70749,1007,0
481,PubChem,6426853,1007,0
482,HMDB,HMDB05763,849,0
483,KEGG,C03958,849,0
484,EHMN,C03958,849,0
485,CHEBI,35940,849,0
486,PubChem,638678,849,0
487,HMDB,HMDB02818,1059,0
488,EHMN,CE0074,1059,0
489,CHEBI,730073,1059,0
490,PubChem,5781,1059,0
491,HMDB,HMDB06202,2652,0
492,CHEBI,63874,2652,0
493,HMDB,HMDB00251,4745,0
494,KEGG,C00245,4745,0
495,EHMN,C00245,4745,0
496,CHEBI,15891,4745,0
497,PubChem,1123,4745,0
498,HepatoNet,HC00222,4745,0
499,HMDB,HMDB02925,3379,0
500,KEGG,C03242,3379,0
501,CHEBI,53486,3379,0
502,PubChem,5280581,3379,0
503,HMDB,HMDB04058,1621,0
504,KEGG,C05578,1621,0
505,EHMN,CE4888,1621,0
506,CHEBI,27404,1621,0
507,PubChem,114683,1621,0
508,EHMN,CE6250,2104,0
509,HMDB,HMDB06402,1091,0
510,KEGG,C05259,1091,0
511,EHMN,CE0853,1091,0
512,CHEBI,15491,1091,0
513,PubChem,440601,1091,0
514,HepatoNet,HC10853,1091,0
515,HMDB,HMDB12593,2074,0
516,EHMN,CE6226,2074,0
517,PubChem,53481478,2074,0
518,HMDB,HMDB01426,2829,0
519,KEGG,C00067,2829,0
520,EHMN,C00067,2829,0
521,CHEBI,16842,2829,0
522,PubChem,712,2829,0
523,HepatoNet,HC00070,2829,0
524,HMDB,HMDB00269,4680,0
525,KEGG,C00836,4680,0
526,EHMN,C00836,4680,0
527,CHEBI,16566,4680,0
528,PubChem,91486,4680,0
529,HepatoNet,HC00556,4680,0
530,HMDB,HMDB02719,2713,0
531,KEGG,C01802,2713,0
532,EHMN,C01802,2713,0
533,CHEBI,17737,2713,0
534,PubChem,439577,2713,0
535,HepatoNet,HC00847,2713,0
536,HMDB,HMDB03411,4454,0
537,KEGG,C00763,4454,0
538,CHEBI,16313,4454,0
539,PubChem,8988,4454,0
540,HMDB,HMDB00051,4152,0
541,KEGG,C00014,4152,0
542,EHMN,C01342,4152,0
543,CHEBI,28938,4152,0
544,PubChem,223,4152,0
545,HepatoNet,HC00765,4152,0
546,HMDB,HMDB01175,4002,0
547,KEGG,C00083,4002,0
548,EHMN,C00083,4002,0
549,CHEBI,15531,4002,0
550,PubChem,10663,4002,0
551,HepatoNet,HC00086,4002,0
552,CHEBI,57923,4302,0
553,HMDB,HMDB00235,4826,0
554,KEGG,C00378,4826,0
555,CHEBI,18385,4826,0
556,PubChem,1130,4826,0
557,EHMN,CE4852,1600,0
558,CHEBI,18278,4145,0
559,HMDB,HMDB03791,149,0
560,KEGG,C04043,149,0
561,EHMN,C04043,149,0
562,CHEBI,27978,149,0
563,HMDB,HMDB01520,2840,0
564,KEGG,C00061,2840,0
565,CHEBI,17621,2840,0
566,PubChem,643976,2840,0
567,CHEBI,28574,503,0
568,HMDB,HMDB06563,432,0
569,PubChem,169691,432,0
570,KEGG,C02512,3250,0
571,EHMN,C02512,3250,0
572,CHEBI,16934,3250,0
573,PubChem,439742,3250,0
574,HMDB,HMDB01000,2735,0
575,KEGG,C01346,2735,0
576,EHMN,C01346,2735,0
577,CHEBI,28850,2735,0
578,PubChem,145729,2735,0
579,HepatoNet,HC00768,2735,0
580,KEGG,C06948,929,0
581,EHMN,C06948,929,0
582,CHEBI,49575,929,0
583,PubChem,3016,929,0
584,HMDB,HMDB02329,4277,0
585,KEGG,C00209,4277,0
586,EHMN,C00209,4277,0
587,CHEBI,16995,4277,0
588,PubChem,971,4277,0
589,HepatoNet,HC00195,4277,0
590,HMDB,HMDB06260,1552,0
591,KEGG,C16374,1552,0
592,EHMN,CE4828,1552,0
593,PubChem,53477810,1552,0
594,HMDB,HMDB12623,1753,0
595,EHMN,CE5242,1753,0
596,PubChem,53481501,1753,0
597,HMDB,HMDB11134,867,0
598,KEGG,C04805,867,0
599,EHMN,C04805,867,0
600,CHEBI,28209,867,0
601,PubChem,155383,867,0
602,HepatoNet,HC02162,2975,0
603,EHMN,CE4826,1548,0
604,HMDB,HMDB01023,304,0
605,KEGG,C11455,304,0
606,EHMN,C11455,304,0
607,CHEBI,17813,304,0
608,PubChem,443212,304,0
609,HepatoNet,HC01808,304,0
610,HMDB,HMDB06563,443,0
611,PubChem,169691,443,0
612,EHMN,CE5837,1956,0
613,HMDB,HMDB12999,1383,0
614,EHMN,CE2839,1383,0
615,PubChem,53481573,1383,0
616,HMDB,HMDB12984,1935,0
617,EHMN,CE5788,1935,0
618,PubChem,53481565,1935,0
619,HMDB,HMDB12576,2076,0
620,EHMN,CE6228,2076,0
621,PubChem,53481473,2076,0
622,HMDB,HMDB06351,4980,0
623,PubChem,53477830,4980,0
624,HMDB,HMDB12553,1690,0
625,EHMN,CE5140,1690,0
626,PubChem,53481460,1690,0
627,HMDB,HMDB00595,3492,0
628,KEGG,C00288,3492,0
629,EHMN,C00288,3492,0
630,CHEBI,17544,3492,0
631,PubChem,769,3492,0
632,HepatoNet,HC00253,3492,0
633,HMDB,HMDB02820,235,0
634,KEGG,C05828,235,0
635,EHMN,C05828,235,0
636,CHEBI,1606,235,0
637,PubChem,75810,235,0
638,EHMN,CE2754,1379,0
639,PubChem,53393659,1379,0
640,HMDB,HMDB03229,3506,0
641,KEGG,C08362,3506,0
642,EHMN,CE0850,3506,0
643,CHEBI,28716,3506,0
644,PubChem,445638,3506,0
645,HepatoNet,HC01981,3506,0
646,HMDB,HMDB06557,586,0
647,KEGG,C00498,586,0
648,CHEBI,15751,586,0
649,PubChem,16500,586,0
650,HMDB,HMDB00619,2223,0
651,KEGG,C00695,2223,0
652,EHMN,C00695,2223,0
653,CHEBI,16359,2223,0
654,PubChem,221493,2223,0
655,HepatoNet,HC00502,2223,0
656,HMDB,HMDB01016,355,0
657,KEGG,C03492,355,0
658,EHMN,C03492,355,0
659,CHEBI,15905,355,0
660,PubChem,41635,355,0
661,HepatoNet,HC01127,355,0
662,HMDB,HMDB12476,1300,0
663,EHMN,CE2420,1300,0
664,PubChem,53481428,1300,0
665,HMDB,HMDB13018,1941,0
666,EHMN,CE5794,1941,0
667,PubChem,53481579,1941,0
668,HMDB,HMDB00221,4139,0
669,KEGG,C00005,4139,0
670,EHMN,C00005,4139,0
671,CHEBI,57783,4139,0
672,PubChem,22833512,4139,0
673,HepatoNet,HC00015,4139,0
674,HMDB,HMDB01396,417,0
675,KEGG,C00440,417,0
