Metabolite abbreviation,Kegg ID,Kegg ID_1,EHMN ID
adp[m],C00008,[],C00008
adp[n],C00008,[],C00008
adp[r],C00008,[],C00008
adp[x],C00008,[],C00008
adpac[c],C06104,D08839,[]
adpac[x],C06104,D08839,[]
adpcoa[c],C14143,C14143 ,[]
adpcoa[x],C14143,C14143 ,[]
adpglc[c],C00498,[],[]
adpman[c],C06192,[],[]
adprbp[c],C03246,[],C03246
adprbp[e],C03246,[],C03246
adprib[c],C00301,[],C00301
adprib[e],C00301,[],C00301
adprib[m],C00301,[],C00301
adrn[c],C16527,[],[]
adrn[e],C16527,[],[]
adrn[x],C16527,[],[]
adrncoa[c],C16170,[],[]
adrncoa[m],C16170,[],[]
adrncoa[x],C16170,[],[]
adrncrn[c],[],[],[]
adrncrn[m],[],[],[]
adrnl[c],C00788,D00095,C00788
adrnl[e],C00788,D00095,C00788
adsel[c],C05686,[],C05686
aflatoxin[c],C06800,[],[]
aflatoxin[e],C06800,[],[]
agm[m],C00179,[],C00179
ahandrostan[r],C04373,[],C04373
ahandrostanglc[c],C11136,[],[]
ahandrostanglc[e],C11136,[],[]
ahandrostanglc[r],C11136,[],[]
ahcys[c],C00021,[],C00021
ahcys[e],C00021,[],[]
ahcys[m],C00021,[],C00021
ahcys[n],C00021,[],C00021
ahcys[r],C00021,[],C00021
ahdt[c],C04895,[],C04895
ahdt[e],C04895,[],C04895
ahdt[n],C04895,[],C04895
aicar[c],C04677,[],C04677
aicar[e],C04677,[],[]
air[c],C03373,[],C03373
ak2g_hs[c],[],[],[]
ak2gchol_hs[c],C05212,[],[]
ak2gp_hs[c],C05977,[],C05977
ak2gpe_hs[c],[],[],[]
ak2lgchol_hs[c],C04317,[],C04317
ak2lgchol_hs[e],C04317,[],C04317
akdhap_hs[c],[],[],[]
akdhap_hs[x],[],[],[]
akg[c],C00026,[],C00026
akg[e],C00026,[],C00026
akg[m],C00026,[],C00026
akg[r],C00026,[],C00026
akg[x],C00026,[],C00026
akgp_hs[c],C03715,[],C03715
ala_B[c],C00099,D07561,[]
ala_B[e],C00099,D07561,[]
ala_B[m],C00099,D07561,[]
ala_D[c],C00133,[],[]
ala_D[e],C00133,[],[]
ala_D[l],C00133,[],[]
ala_D[x],C00133,[],[]
ala_L[c],C00041,D00012;C01401,[]
ala_L[e],C00041,D00012;C01401,[]
ala_L[l],C00041,D00012;C01401,[]
ala_L[m],C00041,D00012;C01401,[]
ala_L[x],C00041,D00012;C01401,[]
alaala[c],C00993,[],[]
alaala[e],C00993,[],[]
aldstrn[c],C01780,[],C01780
aldstrn[e],C01780,[],C01780
aldstrn[m],C01780,[],C01780
alkylR1oh[x],[],[],[]
alltn[c],C01551,D00121,C01551
alltt[c],C00499,[],C00499
