compoundExRef_id,compoundExRef_idtype,compoundExRef_idvalue,compound_id,compoundExRef_primary
10788,CheBI,17361,2277,1
10789,CheBI,60377,2277,0
10790,KEGG,C00055,2277,1
10791,PubChem,6131,2277,1
10792,PubChem,7058165,2277,0
10793,HepatoNet,HC00060,2277,1
10794,EHMN,C00055,2277,1
10795,HMDB,HMDB00095,2277,1
10796,InChi Key,IERHLVCPSMICTF-XVFCMESISA-N,2277,1
10797,CheBI,17361,2278,1
10798,CheBI,60377,2278,0
10799,KEGG,C00055,2278,1
10800,PubChem,6131,2278,1
10801,PubChem,7058165,2278,0
10802,HepatoNet,HC00060,2278,1
10803,EHMN,C00055,2278,1
10804,HMDB,HMDB00095,2278,1
10805,InChi Key,IERHLVCPSMICTF-XVFCMESISA-N,2278,1
10806,KEGG,C05673,2279,1
10807,PubChem,440754,2279,1
10808,PubChem,5119383,2279,0
10809,EHMN,C05673,2279,1
10810,InChi Key,FBADRUOBFLBKJQ-PEBGCTIMSA-N,2279,1
10811,CheBI,16556,2280,1
10812,CheBI,57812,2280,0
10813,KEGG,C00128,2280,1
10814,PubChem,448209,2280,1
10815,PubChem,46878426,2280,0
10816,HepatoNet,HC00126,2280,1
10817,EHMN,C00128,2280,1
10818,HMDB,HMDB01176,2280,1
10819,InChi Key,TXCIAUNLDRJGJZ-BILDWYJOSA-N,2280,1
10820,CheBI,16556,2281,1
10821,CheBI,57812,2281,0
10822,KEGG,C00128,2281,1
10823,PubChem,448209,2281,1
10824,PubChem,46878426,2281,0
10825,HepatoNet,HC00126,2281,1
10826,EHMN,C00128,2281,1
10827,HMDB,HMDB01176,2281,1
10828,InChi Key,TXCIAUNLDRJGJZ-BILDWYJOSA-N,2281,1
10829,CheBI,16556,2282,1
10830,CheBI,57812,2282,0
10831,KEGG,C00128,2282,1
10832,PubChem,448209,2282,1
10833,PubChem,46878426,2282,0
10834,HepatoNet,HC00126,2282,1
10835,EHMN,C00128,2282,1
10836,HMDB,HMDB01176,2282,1
10837,InChi Key,TXCIAUNLDRJGJZ-BILDWYJOSA-N,2282,1
10838,KEGG,C05674,2283,1
10839,PubChem,440755,2283,1
10840,PubChem,5119384,2283,0
10841,EHMN,C05674,2283,1
10842,InChi Key,RNUGPSIGKYHQNQ-OJAKKHQRSA-O,2283,1
10843,CheBI,995,2284,1
10844,KEGG,C04409,2284,1
10845,PubChem,5280673,2284,1
10846,PubChem,5462146,2284,0
10847,PubChem,23,2284,0
10848,HepatoNet,HC01288,2284,1
10849,EHMN,C04409,2284,1
10850,HMDB,HMDB01330,2284,1
10851,InChi Key,KACPVQQHDVBVFC-UHFFFAOYSA-N,2284,1
10852,EHMN,CN0009,2285,1
10853,EHMN,CN0009,2286,1
10854,EHMN,CN0009,2287,1
10855,EHMN,CN0010,2288,1
10856,EHMN,CN0010,2289,1
10857,EHMN,CN0010,2290,1
10858,EHMN,CN0011,2291,1
10859,EHMN,CN0011,2292,1
10860,EHMN,CN0011,2293,1
10861,EHMN,CN0012,2294,1
10862,EHMN,CN0012,2295,1
10863,EHMN,CN0012,2296,1
10864,CheBI,35861,2297,1
10865,KEGG,C19174,2297,1
10866,PubChem,9119,2297,1
10867,EHMN,CN0016,2297,1
10868,InChi Key,JNTHRSHGARDABO-UHFFFAOYSA-N,2297,1
10869,CheBI,35861,2298,1
10870,KEGG,C19174,2298,1
10871,PubChem,9119,2298,1
10872,EHMN,CN0016,2298,1
10873,InChi Key,JNTHRSHGARDABO-UHFFFAOYSA-N,2298,1
10874,EHMN,CN0017,2299,1
10875,EHMN,CN0017,2300,1
10876,EHMN,CN0017,2301,1
10877,EHMN,CN0018,2302,1
10878,EHMN,CN0018,2303,1
10879,EHMN,CN0018,2304,1
10880,EHMN,CN0019,2305,1
10881,EHMN,CN0019,2306,1
10882,EHMN,CN0020,2307,1
10883,EHMN,CN0020,2308,1
10884,EHMN,CN0021,2309,1
10885,EHMN,CN0021,2310,1
10886,EHMN,CN0021,2311,1
10887,EHMN,CN0022,2312,1
10888,EHMN,CN0022,2313,1
10889,EHMN,CN0022,2314,1
10890,EHMN,CN0023,2315,1
10891,EHMN,CN0023,2316,1
10892,CheBI,17245,2317,1
10893,KEGG,C00237,2317,1
10894,KEGG,D09706,2317,0
10895,PubChem,281,2317,1
10896,EHMN,C00237,2317,1
10897,HMDB,HMDB01361,2317,1
10898,InChi Key,UGFAIRIUMAVXCW-UHFFFAOYSA-N,2317,1
10899,CheBI,17245,2318,1
10900,KEGG,C00237,2318,1
10901,KEGG,D09706,2318,0
10902,PubChem,281,2318,1
10903,EHMN,C00237,2318,1
10904,HMDB,HMDB01361,2318,1
10905,InChi Key,UGFAIRIUMAVXCW-UHFFFAOYSA-N,2318,1
10906,CheBI,16526,2319,1
10907,KEGG,C00011,2319,1
10908,KEGG,D00004,2319,0
10909,PubChem,280,2319,1
10910,PubChem,3871136,2319,0
10911,HMDB,HMDB01967,2319,1
10912,InChi Key,CURLTUGMZLYLDI-UHFFFAOYSA-N,2319,1
10913,CheBI,16526,2320,1
10914,KEGG,C00011,2320,1
10915,KEGG,D00004,2320,0
10916,PubChem,280,2320,1
10917,PubChem,3871136,2320,0
10918,HepatoNet,HC00021,2320,1
10919,EHMN,C00011,2320,1
10920,HMDB,HMDB01967,2320,1
10921,InChi Key,CURLTUGMZLYLDI-UHFFFAOYSA-N,2320,1
10922,CheBI,16526,2321,1
10923,KEGG,C00011,2321,1
10924,KEGG,D00004,2321,0
10925,PubChem,280,2321,1
10926,PubChem,3871136,2321,0
10927,HepatoNet,HC00021,2321,1
10928,EHMN,C00011,2321,1
10929,HMDB,HMDB01967,2321,1
10930,InChi Key,CURLTUGMZLYLDI-UHFFFAOYSA-N,2321,1
10931,CheBI,16526,2322,1
10932,KEGG,C00011,2322,1
10933,KEGG,D00004,2322,0
10934,PubChem,280,2322,1
10935,PubChem,3871136,2322,0
10936,HepatoNet,HC00021,2322,1
10937,EHMN,C00011,2322,1
10938,HMDB,HMDB01967,2322,1
10939,InChi Key,CURLTUGMZLYLDI-UHFFFAOYSA-N,2322,1
10940,CheBI,16526,2323,1
10941,KEGG,C00011,2323,1
10942,KEGG,D00004,2323,0
10943,PubChem,280,2323,1
10944,PubChem,3871136,2323,0
10945,HepatoNet,HC00021,2323,1
10946,EHMN,C00011,2323,1
10947,HMDB,HMDB01967,2323,1
10948,InChi Key,CURLTUGMZLYLDI-UHFFFAOYSA-N,2323,1
10949,CheBI,16526,2324,1
10950,KEGG,C00011,2324,1
10951,KEGG,D00004,2324,0
10952,PubChem,280,2324,1
10953,PubChem,3871136,2324,0
10954,HepatoNet,HC00021,2324,1
10955,EHMN,C00011,2324,1
10956,HMDB,HMDB01967,2324,1
10957,InChi Key,CURLTUGMZLYLDI-UHFFFAOYSA-N,2324,1
10958,CheBI,16526,2325,1
10959,KEGG,C00011,2325,1
10960,KEGG,D00004,2325,0
10961,PubChem,280,2325,1
10962,PubChem,3871136,2325,0
10963,HepatoNet,HC00021,2325,1
10964,EHMN,C00011,2325,1
10965,HMDB,HMDB01967,2325,1
10966,InChi Key,CURLTUGMZLYLDI-UHFFFAOYSA-N,2325,1
